construct,mean_en,mean_es,sd_en,sd_es,n_en,n_es,levene_p,statistic,p.value,p_adj,decision
score_fomo,2.4,2.3173913043478263,0.7865536642001401,1.0902200283176455,16,46,0.10437554027344711,-0.2782799556489882,0.7817542364422692,1,Combinar
score_imp,2.267857142857143,2.0031055900621118,1.0313124852230147,0.859514776596663,16,46,0.5923786598724965,-1.0073516776044733,0.31781113353196866,0.953433400595906,Combinar
score_scar,2.7125,2.2869565217391306,1.1312971905442588,0.985812399473917,16,46,0.39356607079299355,-1.4316435005981447,0.1574346013010898,0.4723038039032694,Combinar
