"Sector","FOMO_total","Escasez_total","Engagement_med","distancia","similitud","recomendacion"
"PopUp",0.5773502691896245,1.128552985373757,-0.886498069015209,3.6871937966078727,0.21334726990031885,"21.3% afinidad"
"Editorial",0.5773502691896245,-0.7758801774444583,1.084022692068704,4.737712751612309,0.17428547633706443,"17.4% afinidad"
"Blindbox",-1.1547005383792528,-0.35267280792929884,-0.19752462305349552,5.8914072842969025,0.14510824259054445,"14.5% afinidad"
