"Fuente","Df","Sum Sq","Mean Sq","F_value","p_value"
"freq_nivel ",4,14.041589363017932,3.510397340754483,5.56,8e-4
"Residuals  ",57,35.989022881880025,0.6313863663487723,NA,NA
