term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),0.027893581581132258,0.2260173155617112,0.12341347171480879,0.9022138411196103,-0.42469828603287024,0.48048544919513475
fomo,0.4287379284260805,0.09721989168508394,4.4099815479619595,4.6387632483383736e-5,0.23405845337068695,0.623417403481474
escasez,0.3271965610533406,0.08941152995469544,3.6594448302040035,5.538411948096615e-4,0.14815306065669978,0.5062400614499815
usa_tiktok,-0.02021291820520196,0.20276923320092063,-0.09968434503657327,0.9209447039224056,-0.42625130389696875,0.3858254674865649
tiempo_tiktok,0.23152320230531478,0.15844554018582266,1.4612162767963535,0.14944714445071108,-0.08575851909550028,0.5488049237061299
